Variable:,tas
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Peru,19.48,20.33,20.29,20.26,19.82,19.13,18.20,17.85,18.57,19.39,19.69,20.11,20.23
Arequipa,10.84,12.23,12.45,12.39,11.67,10.42,9.13,8.60,9.03,10.25,10.60,11.28,12.13
Apurímac,8.79,9.58,9.74,9.59,9.37,8.22,7.06,6.61,7.49,8.80,9.12,9.90,10.05
Ucayali,25.34,25.99,25.70,25.72,25.51,25.07,24.16,23.93,24.85,25.64,25.73,26.03,25.81
Tumbes,23.79,25.12,25.66,25.84,25.40,24.38,22.99,22.27,22.19,22.40,22.48,22.86,24.02
Tacna,11.85,14.34,14.57,14.11,12.59,10.80,9.26,8.60,9.24,10.70,11.68,12.70,13.81
Amazonas,20.61,21.10,21.02,21.03,20.83,20.56,19.85,19.43,19.89,20.42,20.86,21.26,21.11
"San Martín",22.97,23.40,23.13,23.13,22.96,22.89,22.26,21.99,22.66,23.12,23.29,23.44,23.30
Puno,9.51,11.03,10.99,10.86,10.01,8.29,6.84,6.40,7.62,9.52,10.51,11.01,11.22
Piura,22.19,23.87,24.43,24.52,23.66,22.35,20.96,20.33,20.51,20.79,20.87,21.54,22.68
Pasco,18.72,19.42,19.17,19.25,19.05,18.65,17.71,17.39,18.00,18.63,18.94,19.35,19.09
Moquegua,9.93,11.77,11.96,11.74,10.61,9.12,7.69,7.19,7.76,9.32,9.99,10.68,11.53
"Madre de Dios",24.25,25.23,25.09,24.90,24.60,23.41,22.46,21.91,23.26,24.64,25.02,25.34,25.24
Loreto,26.23,26.60,26.47,26.53,26.16,25.95,25.35,25.18,25.89,26.47,26.68,26.78,26.77
Ancash,11.88,12.87,12.80,12.89,12.29,11.91,10.99,10.63,11.02,11.26,11.62,12.07,12.23
Lima,11.46,13.15,13.30,13.19,12.34,11.32,10.15,9.59,9.78,10.35,10.92,11.58,12.01
Lambayeque,21.67,23.80,24.48,24.45,23.30,21.75,20.25,19.45,19.53,19.86,19.99,20.93,22.45
"La Libertad",15.44,16.53,16.62,16.66,15.95,15.42,14.51,14.14,14.63,14.85,14.94,15.41,15.71
Junín,14.66,15.45,15.35,15.26,15.01,14.40,13.46,13.10,13.76,14.62,14.93,15.48,15.21
Ica,17.01,19.53,20.03,19.56,18.52,16.62,15.08,14.25,14.35,15.07,15.64,17.06,18.61
Huánuco,17.95,18.29,17.93,18.14,18.08,18.07,17.20,16.94,17.61,18.08,18.34,18.56,18.19
Huancavelica,8.05,8.84,8.99,8.74,8.52,7.78,6.82,6.39,7.00,7.89,8.13,8.88,8.77
Cusco,14.04,14.97,14.98,14.87,14.51,13.30,12.15,11.70,12.77,14.19,14.66,15.28,15.23
Callao,10.90,12.73,12.86,12.66,11.77,10.03,8.55,8.05,8.74,10.05,11.14,11.94,12.42
Cajamarca,16.11,16.78,16.63,16.69,16.40,16.10,15.36,15.11,15.71,16.00,15.83,16.36,16.41
Ayacucho,10.23,11.10,11.39,11.11,10.92,9.88,8.76,8.34,8.96,9.97,9.99,11.09,11.33
