Variable:,tas
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Peru,19.23,20.13,20.29,20.13,19.74,18.93,17.96,17.62,18.29,18.96,19.19,19.66,19.96
Arequipa,10.40,11.84,12.38,12.16,11.48,10.14,8.75,8.34,8.60,9.67,9.64,10.47,11.52
Apurímac,8.34,9.17,9.68,9.40,9.14,7.94,6.69,6.38,7.08,8.16,8.13,9.04,9.43
Ucayali,24.93,25.61,25.60,25.48,25.27,24.70,23.76,23.49,24.44,25.03,25.02,25.36,25.43
Tumbes,23.72,25.05,25.65,25.70,25.41,24.30,22.98,22.20,21.99,22.16,22.40,22.83,24.10
Tacna,11.56,14.02,14.46,13.88,12.60,10.66,9.08,8.59,8.92,10.46,10.93,12.15,13.22
Amazonas,20.49,21.09,21.08,20.95,20.86,20.39,19.69,19.21,19.63,20.08,20.67,21.15,21.13
"San Martín",22.73,23.35,23.18,23.04,22.92,22.54,21.88,21.56,22.31,22.63,22.95,23.15,23.25
Puno,9.10,10.61,10.84,10.57,9.84,8.08,6.50,6.24,7.24,8.99,9.60,10.27,10.54
Piura,22.09,23.84,24.47,24.40,23.67,22.20,20.85,20.16,20.25,20.49,20.72,21.46,22.74
Pasco,18.24,19.02,19.04,18.97,18.75,18.18,17.23,16.83,17.50,17.96,18.16,18.60,18.70
Moquegua,9.54,11.36,11.79,11.44,10.51,8.90,7.39,7.01,7.38,8.91,9.11,9.98,10.87
"Madre de Dios",23.86,24.81,25.02,24.67,24.38,23.24,22.16,21.77,22.93,24.03,24.16,24.60,24.63
Loreto,26.27,26.66,26.63,26.59,26.31,25.99,25.37,25.19,25.87,26.36,26.68,26.78,26.84
Ancash,11.53,12.74,12.78,12.74,12.14,11.44,10.50,10.07,10.56,10.66,11.10,11.59,12.10
Lima,10.99,12.76,13.17,12.92,12.05,10.86,9.71,9.07,9.30,9.68,10.11,10.81,11.60
Lambayeque,21.53,23.83,24.56,24.39,23.33,21.52,20.02,19.18,19.25,19.49,19.76,20.80,22.49
"La Libertad",15.21,16.54,16.70,16.60,15.93,15.05,14.11,13.68,14.26,14.35,14.59,15.14,15.69
Junín,14.19,15.00,15.23,15.00,14.73,14.02,13.05,12.64,13.30,13.96,14.06,14.66,14.72
Ica,16.54,19.10,19.91,19.35,18.25,16.30,14.71,13.91,13.94,14.42,14.67,16.18,18.02
Huánuco,17.52,18.00,17.83,17.89,17.82,17.55,16.69,16.35,17.13,17.43,17.69,17.94,17.93
Huancavelica,7.59,8.39,8.87,8.53,8.26,7.46,6.45,6.02,6.58,7.23,7.17,8.01,8.19
Cusco,13.61,14.55,14.92,14.67,14.29,13.06,11.80,11.47,12.38,13.56,13.71,14.46,14.61
Callao,10.51,12.37,12.69,12.37,11.60,9.78,8.24,7.82,8.35,9.62,10.35,11.30,11.85
Cajamarca,15.95,16.80,16.72,16.63,16.42,15.84,15.09,14.79,15.40,15.60,15.58,16.20,16.43
Ayacucho,9.78,10.68,11.31,10.92,10.69,9.60,8.40,8.06,8.57,9.34,9.01,10.22,10.71
