REGIÓN;PROVINCIA;DISTRITO;CODIGO DEL RECURSO;NOMBRE DEL RECURSO;CATEGORÍA;TIPO DE CATEGORÍA;SUB TIPO CATEGORÍA;URL;LATITUD;LONGITUD;FECHA_DE_CORTE
Cajamarca;Cajamarca;NAMORA;6191;Centro Arqueologico De Collor;2. MANIFESTACIONES CULTURALES;Sitios Arqueológicos;Templos;http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=6191;-78.32359313964844;-7.20257718079663;20230102
Cusco;Chumbivilcas;COLQUEMARCA;6193;Fiesta Del  Chaccu De  Vicuñas  Yavi Yavi;5. ACONTECIMIENTOS PROGRAMADOS;Fiestas;Otros;http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=6193;-72.0413;-14.2841;20230102
Cusco;Calca;COYA;11247;Costumbre Del Gayado Inka;3. FOLCLORE;Creencias Populares;Costumbres;http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=11247;;;20230102
Cusco;Calca;LARES;10841;Mercado Tradicional De Lares;3. FOLCLORE;Ferias y Mercados;Mercados  Artesanales;http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=10841;;;20230102
Cajamarca;Cajamarca;NAMORA;6198;Casa Hacienda La Perla;2. MANIFESTACIONES CULTURALES;Arquitectura y Espacios Urbanos;Casa-Hacienda;http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=6198;-78.32533574603269;-7.202237340686527;20230102
Cajamarca;Cajamarca;NAMORA;6199;Aguas Termales Del Cumbe;1. SITIOS NATURALES;Agua termo-mineral;Aguas Termales;http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=6199;-78.28319999999996;-7.20541;20230102
Cajamarca;Jaen;JAÉN;6200;Festival De La Trucha;5. ACONTECIMIENTOS PROGRAMADOS;Eventos;Festivales;http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=6200;;;20230102
Cusco;Canas;LANGUI;6201;Fiesta Patronal De La Mamacha Asunta De Langui;5. ACONTECIMIENTOS PROGRAMADOS;Fiestas;Fiestas religiosas-patronales;http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=6201;-71.2745;-14.4318;20230102
Cajamarca;Contumaza;CONTUMAZA;6202;Laguna La Cocha;1. SITIOS NATURALES;g. Cuerpo de Agua;Lagunas;http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=6202;-78.74952200000001;-7.332641;20230102
Cusco;Quispicanchi;OROPESA;10773;Curanderismo En Huasao;3. FOLCLORE;Creencias Populares;Tradiciones;http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=10773;;;20230102
Cusco;La Convencion;ECHARATE;6211;Cañón De Torontoy;1. SITIOS NATURALES;e. Cañones;Cañones;http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=6211;-72.612121;-12.856278;20230102
Cusco;La Convencion;SANTA ANA;6212;Sector De Tunquimayo;1. SITIOS NATURALES;Zonas paisajísticas;Bosques;http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=6212;-72.81291666666664;-12.9018056;20230102
Cusco;La Convencion;SANTA ANA;6213;Colpa De Loros De Tiobamba;1. SITIOS NATURALES;o. Otros;;http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=6213;-72.69661111111111;-12.8415556;20230102
Cusco;La Convencion;SANTA ANA;6216;Centro De Transferencia Tecnológica Ex Hacienda Potrero;4. REALIZACIONES TÉCNICAS, CIENTÍFICAS Y ARTÍSTICAS CONTEMPORÁNEAS;Explotaciones Industriales;Otros;http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=6216;-72.72617600000001;-12.889569;20230102
Cusco;La Convencion;SANTA ANA;6217;Fiesta Del Señor De Torrechayoc De Santa Ana;5. ACONTECIMIENTOS PROGRAMADOS;Fiestas;Fiestas religiosas-patronales;http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=6217;-72.6937;-12.8652;20230102
Cajamarca;Cajamarca;NAMORA;6219;Centro Piscicola Namora;4. REALIZACIONES TÉCNICAS, CIENTÍFICAS Y ARTÍSTICAS CONTEMPORÁNEAS;Explotaciones  Agropecuarias y Pesqueras;Piscigranja;http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=6219;-78.32527941964338;-7.20215218721079;20230102
Cusco;Urubamba;MARAS;10855; Watakallariy;5. ACONTECIMIENTOS PROGRAMADOS;Artísticos;Otros;http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=10855;;;20230102
Arequipa;Arequipa;CHIGUATA;6222;Pueblo De Chiguata;2. MANIFESTACIONES CULTURALES;Pueblos;Tradicionales;http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=6222;-71.38146758079529;-16.407156672603996;20230102
Arequipa;Arequipa;CHIGUATA;6223;Iglesia Espiritu Santo;2. MANIFESTACIONES CULTURALES;Arquitectura y Espacios Urbanos;Iglesias;http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=6223;-71.38119131326675;-16.40711807781049;20230102
Cajamarca;Cajamarca;CAJAMARCA;6224;Cerro Mirador Peña Blanca;1. SITIOS NATURALES;Zonas paisajísticas;Miradores naturales;http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=6224;-79.06171;-6.813858;20230102
